,job_title,company_name,location,description,workplace_type,word_count,Tools,Skills,Years_of_Experience,years,experience,Education_Level
34,Machine learning engineer,  Turing  ,  Lagos ,"About the job
An NYSE-listed company that has established itself as the market leader in the technology industry with its world-class solutions is looking for an ML Engineer. The engineer will be in charge of improving the scalability, service reliability, capacity, and performance. The company is helping individuals and businesses to reach new heights by providing them with next-gen tech hardware and software solutions. This is an exciting opportunity for developers who are eager to work with a multinational company and build a lucrative career.

Job Responsibilities:

Review functional and technical specifications and participate in brainstorming sessions
Work actively in helping the broader development team establish best practices according to modern methodologies
Collaborate with cross-functional teams to deliver high-quality products
Identify gaps in test coverage and processes, and propose plans to close the gaps

Job Requirements:

Bachelor’s/Master’s degree in Engineering, Computer Science (or equivalent experience)
At least 5+ years of relevant experience as a Machine Learning Engineer
Demonstrable experience working with Python, Docker, and Kubernetes
Exceptional time management and troubleshooting skills
Fluent in spoken and written English communication",Remote,178,"[' C/C++', 'Python', 'R', 'Kubernetes', ' Q-Learning', 'Docker']","['Unsupervised learning', 'Software engineering', 'communication', 'Reinforcement learning', 'database management', 'Agile development', 'product development', 'Deep learning', 'Project management', 'Time series analysis', 'Python programming', 'A/B testing', 'Supervised learning', 'Data engineering', 'troubleshooting', 'feature engineering', 'Computer vision', 'quality control', 'Ensemble learning', 'Continuous integration and deployment (CI/CD)', 'Transfer learning', 'Machine learning']",Not Specified,0,Not Specified,bachelor
35,Data Engineer,  Applaudo  ,  Rivers State ,"About the job
Job Description

About You

We are looking for a Big Data Engineer to work with large data volumes read from scattered information sources in an organization's technology infrastructure.

You bring to Applaudo the following competencies:

2+ years of experience with Scala Spark
3+ years of data delivery, ETL (extract, transform and load) and data warehouse design, analysis, and programming experience.
Experiencie with Google Cloud Plattform.
Experience with an excellent grasp of relational and dimensional data modeling
Strong mathematical, statistical, and analytics skills
1+ year of Agile experience
English is required, as you will work directly with US-based clients.

You will be accountable for the following responsibilities:

Extracting data from different data sources and transferring it into a data warehouse environment.
Designing, maintaining, and implementing transactional and analytical data storage structures.
Design, build and maintain data pipelines, consuming for multiple sources, and servicing multiple tenants
Experience in one or more of the following DBMS: PostgreSQL, MySQL, Google Cloud Datastore, Cosmos
Experience in one or more of the following programming languages: Scala, PL/SQL, Java
Experience in one or more of the following cloud environment tools: GCP
Elaborate informative, expressive, and meaningful reports that support business decision-making processes through the information provided.
Reporting and subsequently translating the emanating results into good technical and consistent data designs.

Qualifications

Technical Skills:

2+ years of experience with Scala Spark

Experience with cloud environment tools

Additional Information

Here at Applaudo Studios values as trust, communication, respect, excellence and team work are our keys to success. We know we are working with the best and thus treat each other with respect and admiration without asking.

Submit your application today, and don't miss this opportunity to join the Best Digital team in the Region!

We truly appreciate all the hard and outstanding work our team makes every day at Applaudo Studios, and that's why the perks that we offer, are deeply thought and designed as a way to thank them for their commitment and excellence.

Some of our perks and benefits:

Work from home
Flexible schedule
Celebrations
Special discounts
Entertainment area
Flexible work spaces
Great work environment
Private medical insurance
Benefits may vary according to your location and/or availability. Request further information when applying.",Remote,368,"['Scala Spark', ' C/C++', 'Scala', 'Apache Spark', 'Spark', 'PostgreSQL', ' PL/SQL', 'Excel', 'R', 'MySQL', 'Agile', 'Google Cloud', 'Java', 'SQL']","['Data visualization', 'Cloud computing', 'Data interpretation', 'communication', 'Agile development', 'Decision trees', 'Time series analysis', 'Python programming', 'A/B testing', 'Business intelligence', 'Data engineering', 'Exploratory data analysis', 'ETL', 'analysis', 'Regression analysis', 'Support vector machines', 'storage', 'Continuous integration and deployment (CI/CD)', 'modeling', 'decision trees']",Not Specified,0,Not Specified,Not Specified
37,Machine learning engineer,  Conclase  ,  Lagos ,"About the job
Job Purpose

We are looking for a Machine Learning (ML) Engineer to help us create artificial intelligence products.

Machine Learning Engineer responsibilities include creating machine learning models and retraining systems. To do this job successfully, you need exceptional skills in statistics and programming. If you also have knowledge of data science and software engineering, we’d like to meet you.

Your ultimate goal will be to shape and build efficient self-learning applications.

Required Skills & Experience

5 years of ML model development (Catboost, Light GBM, XG Boost)
MUST have experience in Transaction Monitoring and Anti-Money Laundering experience
Experience in Python development
Understanding of data structures, data modeling and software architecture
Deep knowledge of math, probability, statistics and algorithms
Ability to write robust code in Python, Java and 
Familiarity with machine learning frameworks (like Keras or PyTorch) and libraries (like scikit-learn)
Excellent communication skills
Ability to work in a team
Outstanding analytical and problem-solving skills
Degree in Information Technology or related course

Powered by JazzHR

i3hb8iRhDk",Remote,167,"[' C/C++', 'sciket-learn', 'Auto-Keras', 'Python', 'Excel', 'R', 'Scikit-Learn', 'Keras', 'Keras-Tuner', 'Java', ' Q-Learning', 'PyTorch']","['Data visualization', 'Unsupervised learning', 'Statistics', 'Software engineering', 'Data interpretation', 'communication', 'Reinforcement learning', 'Agile development', 'product development', 'Deep learning', 'Python programming', 'A/B testing', 'Business intelligence', 'Supervised learning', 'Data engineering', 'Exploratory data analysis', 'Probability', 'feature engineering', 'Classification algorithms', 'Ensemble learning', 'Continuous integration and deployment (CI/CD)', 'modeling', 'Transfer learning', 'Clustering algorithms', 'Machine learning']",5 years,5,4 to 6 years,master
38,Machine learning engineer,  Turing  ,  Lagos ,"About the job
A well-established company that uses science and ML technologies to help build resilience against disasters is looking for an AI/ML Engineer. The developer will be tasked with developing innovative machine learning models for various applications in flood and resilience modeling. The company utilizes cutting-edge science to curb disasters and enhance planetary-scale resilience. They have raised more than $110 mn in funding so far. This is an excellent opportunity for developers who enjoy working in a highly collaborative, challenging, and exciting environment.

Job Responsibilities:

Stay informed on new technologies and implement cautiously
Maintain necessary documentation for the project
Fix the issues reported by application users
Plan, build, and design solutions with a mental note of future requirements 
Coordinate with the development team to manage fixes, code changes, and merging

Job Requirements:

Bachelor’s/Master’s degree in Engineering, Computer Science (or equivalent experience)
At least 3+ years of relevant experience as a Staff Data Scientist or AI/ML engineer
Demonstrable expertise in Artificial Intelligence and Machine Learning technologies
Sound knowledge of Python and related frameworks is nice to have
Proven track record of collecting and cleaning data, feature engineering, building scalable machine learning algorithms, and constantly improving on them 
Familiarity with uncharted territories and excited to create systems that can scale to multiple areas",Remote,212,"[' C/C++', 'H2O.ai', 'Python', 'Excel', 'R', ' Q-Learning']","['Data visualization', 'Unsupervised learning', 'Software engineering', 'Data interpretation', 'Reinforcement learning', 'Agile development', 'product development', 'Deep learning', 'Project management', 'Python programming', 'A/B testing', 'Business intelligence', 'Supervised learning', 'Data engineering', 'Exploratory data analysis', 'feature engineering', 'Computer vision', 'Classification algorithms', 'Ensemble learning', 'Continuous integration and deployment (CI/CD)', 'modeling', 'Transfer learning', 'Clustering algorithms', 'Machine learning']",Not Specified,0,Not Specified,bachelor
39,Machine learning engineer,  Turing  ,  Lagos ,"About the job
En Turing, ayudamos a los programadores a construir la carrera de sus sueños poniéndolos en contacto con empleos de tecnología muy bien pagos en EE.UU., con un salario en dólares. Más de 400 empresas, incluídas Johnson & Johnson, Dell, Disney, Volvo, etc., han contratado a desarrolladores de Turing.

A fast-paced company that creates software that enables the most effective AI to be operationalized at institutions is looking for an Applied Machine Learning Engineer. The selected candidate will be responsible for putting forward-thinking ideas into practice, including but not limited to foundation models. The company develops and deploys effective AI solutions with maximum impact across sectors using cutting-edge AI.

Job Responsibilities:

Encourage the creation of the pilot models, production deployment, and model vetting for solutions
Engage with data who possess strong statistical knowledge and analytical skills
Analyze vast amounts of data and derive insightful conclusions
Provide clients with data-driven solutions, employ statistics, data mining, machine learning, deep learning, and foundation models
Investigate issues thoroughly to produce creative but workable answers

Job Requirements:

Bachelor’s/Master’s degree in Engineering, Computer Science (or equivalent experience)
At least 3+ years of relevant experience as a software engineer
3+ years of cumulative ML professional experience
1+ year of experience with Tensorflow/Keras/Pytorch/fast.ai
Experience developing AI applications that have been successfully running in production 
Knowledge of defining, architecting, and building the ML solution for a business problem
Expertise in modern machine learning frameworks and technologies (e.g., PyTorch, Transformers, Scikit-learn, NumPy, Pandas)
Knowledge of Python, Git versioning, and libraries 
Expertise in data visualization Libraries - Matplotlib, Plotly 
Knowledge of MySQL/Postgres/MongoDB 
Familiarity with Cloud provider stacks, including AWS or Azure, or GCP
Proficiency in English",Remote,277,"['Pandas', 'Git', 'MySQL', 'Keras', 'Keras-Tuner', 'AWS S3', 'PyTorch', 'Azure', ' C/C++', 'sciket-learn', 'AWS', 'Google Cloud', 'H2O.ai', 'MongoDB', 'Transformers', 'Auto-Keras', 'Python', 'Scikit-Learn', ' Q-Learning', 'Plotly', 'TensorFlow', 'R', 'NumPy']","['Data visualization', 'Unsupervised learning', 'Statistics', 'Software engineering', 'Cloud computing', 'Data interpretation', 'Reinforcement learning', 'Deep learning', 'Python programming', 'deployment', 'A/B testing', 'Business intelligence', 'Supervised learning', 'Data engineering', 'Exploratory data analysis', 'feature engineering', 'Computer vision', 'visualization', 'mining', 'Ensemble learning', 'Continuous integration and deployment (CI/CD)', 'Transfer learning', 'Machine learning']",Not Specified,0,Not Specified,bachelor
41,Business Analyst,  AfyA Care  ,  Lagos ,"About the job
Never Miss a Job Update Again. 
Company: 
Location: Nigeria
State: 
Job type: Full-Time 
Job category: 
 Job Description

AfyA Care is set up to actively invest in and operate healthcare assets with a vision to make healthcare accessible and affordable.

Job Title: Business Intelligence & Automation Analyst

Location: Lagos, Nigeria

Employment Type: Full-time

Job Purpose
The business intelligence and automation analyst is responsible for driving business performance and seeking insights from the business by creating dashboards, both lagged and instant.
Also improving the process in the business by identifying manual processes that can be automated to achieve quicker business delivery. The analyst is expected to identify his customers, and their needs and deliver the dashboards and the insights required.
To have success in this role, you need to be a self-starter who is constantly thinking of business improvement.
Core Functions / Responsibilities
Identifying and defining the business requirements across the group
Identifying and understanding the different data tables across the business.
Building a minimum of 2 dashboards monthly across the group
Drilling into data to generate insights and create multiple reports explaining the data in the system.
Develop and manage BI solutions
Automate a minimum of 2 processes monthly across the group
Be a business automation champion in the group
Identity Data inconsistencies in the business
Escalating data inconsistencies and errors and follow through to ensure correction
Participate in the formation of the Group’s strategy
Profile
2 years of Finance experience
Understanding SQL, Power BI, and other languages will be added advantage
Strong numerical and relationship management skills
Remuneration
Remuneration will be competitive and at the higher end of industry standards depending on qualification and relevant experience.
There are additional benefits such as:
Health Insurance for self and nuclear family
Life Insurance for self
Application Closing Date

Not Specified.

Don't Keep! Kindly Share:",On-site,305,"['Power Query', 'Power BI', ' C/C++', ' PL/SQL', 'R', 'SQL']","['Project management', 'Data visualization', 'Time series analysis', 'Exploratory data analysis', 'Data engineering', 'Computer vision', 'Continuous integration and deployment (CI/CD)', 'A/B testing', 'Business intelligence', 'Data interpretation', 'database management']",2 years,2,1 to 3 years,Not Specified
43,Machine learning engineer,  Turing  ,  Lagos ,"About the job
En Turing, ayudamos a los programadores a construir la carrera de sus sueños poniéndolos en contacto con empleos de tecnología muy bien pagos en EE.UU., con un salario en dólares. Más de 400 empresas, incluídas Johnson & Johnson, Dell, Disney, Volvo, etc., han contratado a desarrolladores de Turing.

A fast-growing company that is currently operating in stealth mode while trying to revolutionize the tech industry is looking for an ML Engineer. The engineer will be in charge of designing and implementing information retrieval systems across diverse datasets. The company is building new products that would have seemed like science fiction just a few years ago. This is a great opportunity for developers who are eager to use new cutting-edge large language models to build new products.

Job Responsibilities:

Writing robust, clean, and manageable product code
Take charge of training and tuning large language models
Participate in design reviews and architecture discussions
Fine-tune language models and use reinforcement learning to guide their output
Utilize advanced technology to build data ingestion, machine learning pipeline, and MLOPS
Triage production issues and optimize the inference in production

Job Requirements:

Bachelor’s/Master’s degree in Engineering, Computer Science (or equivalent experience)
At least 3+ years of relevant experience as a Machine Learning Engineer
Prolific experience working with Machine learning algorithms and tools like Pytorch
Demonstrable experience with Natural Language Processing (NLP) and Transformers architecture
Strong knowledge of data science and related technologies like Pandas, SQL, dataset processing, etc
Prior experience working with information retrieval, distributed computing, and AI inference in production
Excellent English communication skills",Remote,261,"[' C/C++', 'H2O.ai', 'Pandas', 'Transformers', ' PL/SQL', 'Excel', 'R', 'NLP', ' Q-Learning', 'SQL', 'PyTorch']","['Data visualization', 'Unsupervised learning', 'Software engineering', 'Cloud computing', 'Data interpretation', 'communication', 'Natural language processing', 'Reinforcement learning', 'product development', 'Deep learning', 'A/B testing', 'NLP', 'Supervised learning', 'Data engineering', 'Exploratory data analysis', 'feature engineering', 'Computer vision', 'Classification algorithms', 'Hyperparameter tuning', 'Ensemble learning', 'Continuous integration and deployment (CI/CD)', 'Transfer learning', 'Clustering algorithms', 'Machine learning']",Not Specified,0,Not Specified,bachelor
44,Machine learning engineer,  Turing  ,  Lagos ,"About the job
A US-based DSOS company revolutionizing the data and cloud services industry, is looking for a Machine Learning Engineer. The engineer will be responsible for designing new machine learning features and capabilities, and optimizing the existing models. The company’s technology helps incident response teams to precisely detect, respond and protect against data breaches as well as helps cloud-security teams tighten IAM policies around data, and governance teams to audit every individual access across every data store. The company has secured $18mn in funding so far. This is a nice opportunity for those who would like to collaborate with industry professionals and rise quickly through the ranks.

Job Responsibilities:

Write modern, clean, scalable, and easy-to-maintain ML models and algorithms 
Work alongside product designers and leadership teams to build ML features and capabilities to add value to the company’s prospects and customers
Resolve complicated issues using comprehensive data sets utilizing new and existing machine learning libraries/frameworks
Closely work on optimizing ML models and contribute to code reviews and pull requests.
Be ready to provide on-call support to field engineering teams, prospects, and also customers whenever required
Provide guidance and mentor other ML engineers

Job Requirements:

M.S./PhD in Computer Science, Electrical Engineering, Mathematics, Statistics, or Statistical Physics specializing in ML and/or NLP
Should possess a PhD + 1 year or M.S. + 3 years of hands-on experience building efficient ML systems using large datasets
In-depth research background/ML Papers in graph and or NLP domains is a plus
Must be good with skills related to computer science and machine learning fundamentals
Must have knowledge of software engineering
Should possess a theoretical background in ML
Highly efficient at Python with a basic understanding of Java/C++ or related languages
Should possess professional working experience of Tensorflow, scikit-learn, and pandas
Experience in processing large datasets (e.g. Map/Reduce, Apache Spark, and/or Apache Beam)",Remote,307,"['Scala Spark', ' C/C++', 'Pandas', 'sciket-learn', 'Apache', 'Python', 'Spark', 'Scikit-Learn', 'R', 'Google Cloud', 'NLP', 'Java', ' Q-Learning', 'Apache Spark', 'TensorFlow']","['Data visualization', 'Unsupervised learning', 'Statistics', 'Software engineering', 'Cloud computing', 'Data interpretation', 'Natural language processing', 'Reinforcement learning', 'product development', 'Deep learning', 'Python programming', 'governance', 'A/B testing', 'NLP', 'Data engineering', 'Supervised learning', 'Exploratory data analysis', 'feature engineering', 'Computer vision', 'security', 'Classification algorithms', 'Support vector machines', 'Ensemble learning', 'Continuous integration and deployment (CI/CD)', 'Transfer learning', 'Clustering algorithms', 'Machine learning']",1 year,1,1 to 3 years,phd
46,Data Engineer,  Turing  ,  Lagos ,"About the job
A U.S.-based company that is on a mission to help digital consumer brands reach their full global potential is looking for a Data Engineer. The engineer will be in charge of performing troubleshooting and debugging tasks for software upgrades using a test-oriented approach. With its brand building, performance marketing, product development, and international growth solutions, the company is creating Product-Market Fit for those who live on the cusp of upcoming cultural transformations. The company has managed to secure close to $80mn+ successfully during their Series B round of funding.

Job Responsibilities:

As part of the development process, maintain and arrange the code documentation
Create top-notch software and own solutions from end-to-end
Deliver new features quickly and raise the level of software quality
Encourage those around you to improve as developers and to succeed

Job Requirements:

Bachelor’s/Master’s degree in Engineering, Computer Science (or equivalent experience)
At least 3+ years of relevant experience as a data engineer
Prolific experience working with JavaScript and Vue.js
Some familiarity with Python and Node.js is nice to have
Fluency in spoken and written English communication",Remote,182,"[' C/C++', 'Java', 'Python', 'R', 'Javascript']","['quality control', 'Data visualization', 'Time series analysis', 'Exploratory data analysis', 'troubleshooting', 'feature engineering', 'Computer vision', 'Python programming', 'Software engineering', 'Continuous integration and deployment (CI/CD)', 'A/B testing', 'Data interpretation', 'Debugging', 'communication', 'Data engineering', 'Agile development', 'product development']",Not Specified,0,Not Specified,bachelor
47,Data Engineer,  Turing  ,  Lagos ,"About the job
A U.S.-based company that has managed to establish a beloved online platform that promotes community-building activities by enabling users to share their interests, is looking for a Data Engineer. The engineer will be taking ownership of a variety of product surfaces and making a significant difference to support the company. The platform is enabling users across the globe to connect with each other through shared interests and experiences. The company has managed to secure $1.1bn+ during their Series F round of funding.

Job Responsibilities:

Develop, maintain, and enhance scalable data pipelines and data analytics services for a range of customer-facing targeting solutions
Create low-latency targeting systems that could retrieve user and post profiles and evaluate them to decide who to target with ads
Provide insight-based tools to analyze the targeted performance
Collaborate with data scientists to analyze and utilize the power of big data from the platform
Develop effective data storage for machine learning and ad serving
Take ownership of and influence the advertising business to support the organization as a member of this mission-driven team

Job Requirements:

Bachelor’s/Master’s degree in Engineering, Computer Science (or equivalent experience)
At least 3+ years of relevant experience as a data engineer
3+ years of software development experience with general-purpose programming languages like Java, Scala, Python, C++, and Go
Prolific experience with data processing or data engineering
Solid understanding of large-scale back-end service design
Demonstrable experience with Frameworks: like Spark and Flink
Extensive experience working with Datastores like DynamoDB, Redis, Druid, Kafka, and BigQuery
Familiarity with tools like Kubernetes and Airflow
Nice to have some Ads or ML experience
Prior experience in building business intelligence and tools is desirable
Demonstrable data analysis background or skills as well as knowledge of interview timelines and format is preferred
Fluent in spoken and written English communication",Remote,302,"['Power Query', 'Power BI', 'Airflow', 'Scala Spark', ' C/C++', 'Scala', 'Kafka', 'Apache Spark', 'DynamoDB', 'Python', 'Spark', 'Druid', 'R', 'Java', 'Kubernetes', ' Q-Learning', 'Redis', 'BigQuery']","['Data visualization', 'Unsupervised learning', 'Software engineering', 'Data interpretation', 'communication', 'Natural language processing', 'Reinforcement learning', 'Agile development', 'product development', 'Deep learning', 'Time series analysis', 'Python programming', 'A/B testing', 'Business intelligence', 'Data engineering', 'Supervised learning', 'Exploratory data analysis', 'feature engineering', 'Computer vision', 'analysis', 'Regression analysis', 'Support vector machines', 'Ensemble learning', 'storage', 'Continuous integration and deployment (CI/CD)', 'Transfer learning', 'Machine learning']",Not Specified,0,Not Specified,bachelor
52,Data Analyst,  eHealth4everyone  ,  Abuja ,"About the job
Never Miss a Job Update Again. 
Company: 
Location: Nigeria
State: 
Job type: Full-Time 
Job category: 
 Job Description

eHealth4everyone is a digital health enterprise based in Nigeria (Africa) contributing to health service delivery using data science and information technology. At ehealth4everyone, our goal is saving lives and our approach is information and technology. We believe that if health is a right, proven digital health solutions and expertise such as ours should not be a privilege.

Job Title: Data Analyst – Dashboard Developer

Location: Abuja

The Dashboard Developer will perform all routine tasks of BI assignments including translating business requirements into technical requirements, connecting to data sources, PowerShell, REST APIs, and Identifying and developing dashboards/reports which solve clients’ unique problems and provide actionable decision support.
He/she will ensure data is presented in a way that’s easy to understand and should be able to work independently and with little or no supervision remotely.
Extracts, aggregates, analyzes and develops reports and dashboards using data sources including customer satisfaction data, operational data, employee performance data etc.
Reviews and cleans datasets used in dashboards and reports.
Creates and maintains organizational dashboards.
Participates in the development of reports for external reporting.
Serves as an organizational resource and expert related to data analysis tools and presentation of data via the development of dashboards.
Reviews and recommends new metrics for analysis and presentation.
Training end-users on new reports and dashboards.
Develops visual reports, dashboards and KPI scorecards using business intelligence tools (such as Power BI and Tableau)
Connects to data sources, imports data and transforms data for Business Intelligence.
 Qualification and Skills
A Degree in Information Technology, Computer Science, Economics, Statistics or other relevant fields is required.
At least one year of Data Analysis experience using Power BI, SQL, Tableau etc.
Knowledge of statistical methodologies is an added advantage.
Advanced Excel and data cleaning skills are required.
High attention to detail, quick learner, storyteller.
Resourceful, curious, and motivated individual.
An ability to work independently as well as in a team setting.
Proven experience in building advanced data dashboards and reports.
Excellent presentation skills are a must.
Excellent written, oral, data and graphical communication skills.
Application Closing Date

31st December, 2022.

Don't Keep! Kindly Share:",Hybrid,368,"['Power Query', 'Power BI', ' C/C++', ' PL/SQL', 'Excel', 'R', 'Tableau', 'SQL', 'KPI']","['Decision trees', 'Data visualization', 'Time series analysis', 'Exploratory data analysis', 'Statistics', 'Computer vision', 'Continuous integration and deployment (CI/CD)', 'analysis', 'decision trees', 'Regression analysis', 'A/B testing', 'Business intelligence', 'Data interpretation', 'communication', 'Support vector machines', 'Data engineering', 'Agile development', 'product development']",Not Specified,0,Not Specified,Not Specified
57,Machine learning engineer,  Turing  ,  Lagos ,"About the job
En Turing, ayudamos a los programadores a construir la carrera de sus sueños poniéndolos en contacto con empleos de tecnología muy bien pagos en EE.UU., con un salario en dólares. Más de 400 empresas, incluídas Johnson & Johnson, Dell, Disney, Volvo, etc., han contratado a desarrolladores de Turing.

A fast-emerging company that makes the best use of technology to enhance the way people live and feel is looking for a Senior AI Engineer. The selected candidate will be responsible for modifying data science prototypes and using relevant ML tools and algorithms. The company's ground-breaking platform provides tailored tools and assistance to empower individuals on the path to well-being. This position requires an overlap with the PST time zone.

Job Responsibilities:

Automate prediction models by setting up and running machine learning systems and AI infrastructure
Modify data science prototypes and use pertinent ML tools and algorithms
Use text-to-speech and auto-tagging to turn unstructured input into useful information
To assist product managers and stakeholders, conduct tests, carry out statistical analysis, and interpret the test findings
Keep up with the latest ML and AI advances that are pertinent to the corporate world

Job Requirements:

Bachelor’s/Master’s degree in Engineering, Computer Science (or equivalent experience)
At least 3+ years of relevant Artificial Intelligence experience
Healthcare experience is a plus
Good English communication skills",Remote,221,"[' C/C++', 'H2O.ai', 'Auto-Keras', 'Auto-Sklearn', 'R', ' Q-Learning']","['Data visualization', 'Unsupervised learning', 'Software engineering', 'Data interpretation', 'communication', 'Reinforcement learning', 'product development', 'Deep learning', 'Time series analysis', 'A/B testing', 'Business intelligence', 'Supervised learning', 'Data engineering', 'Exploratory data analysis', 'feature engineering', 'Computer vision', 'analysis', 'Regression analysis', 'Classification algorithms', 'Ensemble learning', 'Continuous integration and deployment (CI/CD)', 'Transfer learning', 'Clustering algorithms', 'Machine learning']",Not Specified,0,Not Specified,bachelor
58,Machine learning engineer,  Choice Talents NG  ,  Lagos ,"About the job
Never Miss a Job Update Again. 
Company: 
Location: Nigeria
State: 
Job type: Full-Time 
Job category: 
 Job Description

Choice Talents NG is Nigeria’s preferred recruiter, trainer, business consultant, business and employee performance manager, for all categories of businesses (small, medium, large, multi-nationals and corporations). Our goal is to help build successful businesses through effective talent, resource and process management.

Job Title: Artificial Intelligence Engineer

Locations: Abuja (FCT) & Lagos

Employment Type: Full-time

Develop AI for Video Analysis and Computer Vision tasks.
Write and maintain high-performance Python/C++ software code.
Write technical documents describing core systems.
Work closely with Design, Production, and QA.
Gather Dataset, create Machine Learning Models for Object Detection, Image Classification, and Image Segmentation
Performs research and testing to develop machine learning algorithms and predictive models.
Utilization of big data computation and storage tools to create prototypes and datasets.
Conducts model training and evaluation, integrates, tests, tunes, and monitors solutions.
Candidates should possess a B.Sc / HND qualification
3+ years experience in Artificial Intelligence/Computer Vision and/or software development.
Experience with AI Algorithms such as YOLO, UNET, Deepsort, etc.
Proficiency in one or more of the following programming languages: Python, C/C++.
Proficient in mathematics including linear algebra, trigonometry, and algorithm design.
Passionate, Self-motivated and loves solving problems.
Familiarity with microservices architecture.
Familiarity with multi-threaded/processing programming.
Proficient with multiple AI tools and machine learning frameworks like Spark, TensorFlow, PyTorch, sciket-learn, and Keras.
Requires a degree/master’s degree in computer science, mathematics, engineering, or equivalent.
Works on advanced, complex technical projects or business issues requiring state-of-the-art technical or industry knowledge.
Application Closing Date

31st December, 2022.

Don't Keep! Kindly Share:",On-site,269,"['Scala Spark', ' C/C++', 'H2O.ai', 'sciket-learn', 'Auto-Keras', 'Python', 'Spark', 'Scikit-Learn', 'R', 'PyTorch', 'Keras', 'Keras-Tuner', ' Q-Learning', 'Apache Spark', 'TensorFlow']","['Data visualization', 'Unsupervised learning', 'Software engineering', 'Data interpretation', 'Natural language processing', 'Reinforcement learning', 'database management', 'Agile development', 'product development', 'Deep learning', 'Project management', 'Time series analysis', 'Python programming', 'A/B testing', 'Business intelligence', 'Data engineering', 'Supervised learning', 'Exploratory data analysis', 'feature engineering', 'Computer vision', 'analysis', 'Regression analysis', 'Classification algorithms', 'Ensemble learning', 'storage', 'Continuous integration and deployment (CI/CD)', 'Transfer learning', 'Clustering algorithms', 'Machine learning']",Not Specified,0,Not Specified,master
59,Machine learning engineer,  Turing  ,  Lagos ,"About the job
A US-based startup committed to designing, building, and managing high-performing revenue operations for businesses is looking to hire a Machine Learning Engineer. The engineer will develop machine learning models to classify news/PR/industry articles based on category tags derived from a learning data of 5000+ data points. The company has assembled a dynamic group of sales, marketing, and technology experts with a track record of leading growth for some of the world’s largest and most successful companies. The selected candidate will create and leverage existing ML models for text summarization to enable rapid analyst understanding and context. This is an excellent opportunity for those who would like to join the team in pioneering the future of B2B growth.

Job Responsibilities:

Understand the business objectives and develop models to achieve them, along with metrics for progress tracking
Design and develop scalable machine learning systems
Research and integrate appropriate ML algorithms and tools
Manage and lead the team executing the bottoms up build of a sales insight engine

Job Requirements:

Bachelor’s/Master’s degree in Engineering, Computer Science (or equivalent experience)
At least 3-5+ years of relevant Software, ML, or Data engineering experience
Baseline knowledge of full-stack development is desired
Nice to have some proficiency in Scala, Play-framework, HTML, Bootstrap, jQuery, JavaScript, and Python scripting
Have a keen interest in building from scratch rather than with frameworks
Competence in data science and algorithms to develop rules and scoring of quantitative information
Sound problem-solving aptitude 
Familiarity with various machine learning frameworks and libraries 
Ability to thrive in a fast-paced, collaborative environment",Remote,258,"['HTML', 'Scala Spark', ' C/C++', 'Scala', 'Javascript', 'Python', ' Bootstrap', 'R', 'jQuery', 'Java', ' Q-Learning']","['Data visualization', 'Unsupervised learning', 'Software engineering', 'Data interpretation', 'Reinforcement learning', 'Agile development', 'product development', 'Deep learning', 'Python programming', 'A/B testing', 'Business intelligence', 'Supervised learning', 'Data engineering', 'Exploratory data analysis', 'feature engineering', 'Computer vision', 'Classification algorithms', 'Ensemble learning', 'Continuous integration and deployment (CI/CD)', 'Transfer learning', 'Clustering algorithms', 'Machine learning']",Not Specified,0,Not Specified,bachelor
66,Machine learning engineer,  Turing  ,  Lagos ,"About the job
A US-based banking platform that enables businesses to provide financial services and solutions to customers, is looking for a Machine Learning Engineer. The engineer will be required to don multiple hats and contribute to cross-functional tasks like reviewing the existing architecture and proposing changes as necessary. The company's cutting-edge technology enables developers to build and launch market-ready credit, deposit, and crypto products in a matter of weeks. During their Series B round of funding, the company raised over $50 mn. This will be a long-term, full-time role requiring some overlap with the PST time zone.

Job Responsibilities:

Build effective and scalable data pipeline
Help build and maintain ML models
Perform code reviews and architect new systems
Mentor other team members and guide them on implementing industry best practices

Job Requirements:

Bachelor’s/Master’s degree in Engineering, Computer Science (or equivalent experience)
At least 3+ years of relevant experience as a machine learning engineer
Prolific skills with Python, Pytorch, and Tensorflow
Extensive experience working with MongoDB, Redis, ElasticCache, and AWS
Nice to have some experience with fintech, risk, credit, and crypto products
Fluent in written and spoken English",Remote,188,"[' C/C++', 'MongoDB', 'Python', 'AWS', 'PyTorch', 'R', 'AWS S3', ' Q-Learning', 'Redis', 'TensorFlow']","['Deep learning', 'Data visualization', 'Time series analysis', 'Exploratory data analysis', 'Ensemble learning', 'Unsupervised learning', 'feature engineering', 'Computer vision', 'Python programming', 'Software engineering', 'Continuous integration and deployment (CI/CD)', 'A/B testing', 'Data interpretation', 'Transfer learning', 'Supervised learning', 'Reinforcement learning', 'Data engineering', 'Machine learning']",Not Specified,0,Not Specified,bachelor
